codigo,titulo,texto,multimedia,dataPublicacion,userName
11234,"Hola Mundo",qwertyuiop,qwerqwer,"03-12-22 01:31:10",pedropm
2234,adfs,asdf,multimedia,2022-12-01T16:15,PedroAdmin
454,asd,"hola *** aaa jemeplo  aaa  aaa",multimedia,"06-12-22 02:04:42",PedroAdmin
572,asd,"hola **** aaa jemeplo  aaa  aaa",multimedia,"06-12-22 02:05:17",PedroAdmin
612,qwer," hola  que  tal",multimedia,"06-12-22 10:39:34",pedropm
743,asdf,asdf,multimedia,2022-12-01T23:30,PedroAdmin
929,asdf,qwer,multimedia,2022-12-01T23:32,PedroAdmin
13452,asdasfasdf,multimedia,asdfasdfasdf,2022-12-01T12:34,pedropm
740195,qwer,qwerqwer,multimedia,2022-12-01T13:13,PedroAdmin
269269,qiuwery,oiuwqysfdoiuy,multimedia,"08-12-22 01:15:20",PedroAdmin
550305,asdfasdf,qwerqwer,550305,2022-11-30T13:40,PedroAdmin
764076,ejemplo,"***** *****",764076,2022-12-07T12:35,PedroAdmin
